41|urn:ucode:_00001C000000000000010000030C46DD |28| odpt.Station:TokyoMetro.Ginza.Gaiemmae |139.717825|35.670375
42|urn:ucode:_00001C000000000000010000030C46DE |29| odpt.Station:TokyoMetro.Tozai.Kagurazaka |139.73452|35.703865
43|urn:ucode:_00001C000000000000010000030C46DF |30| odpt.Station:TokyoMetro.Tozai.Kasai |139.87252979568|35.663616707285
44|urn:ucode:_00001C000000000000010000030C46E0 |31| odpt.Station:TokyoMetro.Marunouchi.Kasumigaseki |139.75268|35.674235
45|urn:ucode:_00001C000000000000010000030C46E1 |31| odpt.Station:TokyoMetro.Hibiya.Kasumigaseki |139.75106|35.673875
46|urn:ucode:_00001C000000000000010000030C46E2 |31| odpt.Station:TokyoMetro.Chiyoda.Kasumigaseki |139.75177|35.67256
47|urn:ucode:_00001C000000000000010000030C46E3 |32| odpt.Station:TokyoMetro.Yurakucho.Kanamecho |139.69848|35.733215
48|urn:ucode:_00001C000000000000010000030C46E4 |32| odpt.Station:TokyoMetro.Fukutoshin.Kanamecho |139.69848|35.733215
49|urn:ucode:_00001C000000000000010000030C46E5 |33| odpt.Station:TokyoMetro.Hibiya.Kamiyacho |139.744725|35.662625
50|urn:ucode:_00001C000000000000010000030C46E6 |34| odpt.Station:TokyoMetro.Hibiya.Kayabacho |139.77961902639|35.679078666046
51|urn:ucode:_00001C000000000000010000030C46E7 |34| odpt.Station:TokyoMetro.Tozai.Kayabacho |139.77927030373|35.680345789147
52|urn:ucode:_00001C000000000000010000030C46E8 |35| odpt.Station:TokyoMetro.Ginza.Kanda |139.77089|35.693715
53|urn:ucode:_00001C000000000000010000030C46E9 |36| odpt.Station:TokyoMetro.Chiyoda.KitaAyase |139.832095|35.77689
54|urn:ucode:_00001C000000000000010000030C46EA |37| odpt.Station:TokyoMetro.Fukutoshin.KitaSando |139.70546824124|35.678502670042
55|urn:ucode:_00001C000000000000010000030C46EB |38| odpt.Station:TokyoMetro.Hibiya.KitaSenju |139.80559172142|35.749904469579
